,germination,growth,maturity
19075,281.67649595687334,291.7920619946092,279.30187331536393
19076,283.0437625754527,292.7614889336016,280.6693158953723
19077,284.01373809523807,293.1129285714286,281.67035714285726
19078,283.8652932330827,292.89159398496236,281.5858045112782
19079,285.51018315018314,293.79391941391947,282.8361904761905
19080,284.29691176470584,293.0809663865546,281.6544117647059
19081,284.0960943643513,292.91263433813896,281.2734862385322
19082,282.75623063683304,292.6557659208261,280.5122375215146
19083,285.221875,293.27861607142864,282.0814508928571
19084,282.73253968253965,292.6405059523809,280.27690476190486
19085,285.4522252747252,293.55607142857144,282.51887362637365
19086,283.82601410934745,293.226331569665,281.46945326278666
19087,282.28301339285713,292.518125,280.0171651785715
19088,284.91946428571435,293.21901785714283,282.13359374999993
19089,283.06134523809527,293.06335714285717,280.90317857142855
19090,285.0481142857143,292.92794285714285,282.08074285714287
19091,282.9237012987013,292.95556277056266,280.7375108225108
19092,282.58684615384624,292.81453846153846,280.1037802197803
19093,282.5651360544217,292.457712585034,280.4384353741497
19094,285.26344360902254,293.16703759398496,282.0828571428571
19095,284.6548571428571,293.09850000000006,281.8386071428572
19096,284.8200649350649,293.09428571428566,281.94495129870126
19097,284.34706199460913,293.47075471698116,281.733692722372
19098,280.88344624447717,290.6837849779086,278.0835198821797
19099,285.763893557423,293.41366946778714,282.96473389355754
19100,281.74592047128135,291.78360824742265,279.5416200294551
19101,282.25811748998666,292.4342189586115,280.36724966622165
19102,282.2443681318682,292.22664835164835,280.0490659340658
19103,282.4826530612245,292.6521248499399,280.26126050420163
19104,282.2477265745007,292.4250230414747,279.9690015360983
19105,281.52759398496244,292.22276315789475,280.6279699248119
19106,284.9814285714285,293.25571428571425,281.9995879120879
19107,281.78629582806576,291.86407079646017,279.14037926675104
19108,282.56042168674696,292.7076678141136,280.50342512908776
19109,283.16819327731093,292.71093837535017,280.4548319327731
19110,283.5036288998358,292.81796387520535,280.9947619047619
19111,284.3070346320347,293.3797186147186,281.85123376623375
19112,285.05529192546584,294.07252173913037,282.66288198757763
19113,284.62903225806457,293.0900307219662,282.0560675883257
19114,282.33786924939466,292.56246973365614,280.28983050847455
19115,283.1140746753247,292.7754220779221,280.4260714285714
19116,286.04522556390987,293.8157518796993,283.4235338345865
19117,282.7538474025974,292.7407305194806,280.5328571428572
19118,281.2303869047619,291.66605654761906,279.4382291666667
19119,282.88116954474094,293.02526687598106,280.71937205651494
19120,283.3716369047619,292.8858035714285,280.8137797619047
19121,282.61996860282574,292.6637990580848,280.2728885400314
19122,285.10097505668926,293.91698412698406,282.7036281179138
19123,283.9981043956044,293.0158104395604,281.3439423076923
19124,283.07329787234045,292.61872340425526,280.7710334346505
19125,283.9050605326877,292.984043583535,281.40389830508474
19126,281.5300545256271,291.55761177753544,278.84594329334783
19127,281.9960894660894,292.14132756132756,279.795137085137
19128,285.1714746543779,293.2566820276498,282.1443087557604
19129,283.45123287671237,292.90309197651663,281.04500978473584
19130,283.2747294372295,293.04385281385277,281.1761363636363
19131,285.47835579514833,293.247601078167,282.75191374663063
19132,286.38794642857147,293.89044642857147,283.7325892857143
19133,282.2102857142857,292.47799999999995,280.0092857142857
19134,284.88928571428573,293.3834161490683,282.1204192546584
19135,285.0950857142857,293.29645714285715,282.2459142857143
19136,282.8327743271222,292.94755693581783,280.3414285714286
19137,285.4129226736566,294.0869462647445,282.72474442988204
19138,285.31493303571426,293.3356026785714,282.15948660714287
19139,283.7530541871922,293.0788571428571,281.204315270936
19140,283.09819960861057,293.03502935420744,280.9963405088062
19141,283.2780952380952,292.9271428571428,281.1205079365079
19142,284.01447694038245,292.8888076490438,281.33309336332957
19143,281.8766037735849,292.11021563342325,279.56188679245287
19144,281.0808163265306,291.1480272108842,278.34392857142865
19145,282.7368907563025,292.74336134453785,280.40138655462187
19146,285.8603981264637,293.2862763466042,282.4566510538642
19147,283.14013793103453,292.62436453201974,281.08273891625606
19148,285.3813513513514,293.640694980695,282.4666023166023
19149,282.6684509466437,292.58215146299483,280.3521342512908
19150,284.97241496598645,293.36387755102044,282.5219727891157
19151,285.06291208791214,293.2196016483516,282.2889285714285
19152,285.2528388278388,293.5178388278389,282.34254578754576
19153,282.2674903474904,292.37814671814675,279.52751608751606
19154,282.17318080357137,292.4898325892857,280.52606026785713
19155,285.05873840445275,293.0396103896104,281.9712244897959
